gene	start	end	l
orf19.86	36	523	626
orf19.585	47	900	1073
orf19.36.1	39	247	381
orf19.2343.1	1	390	390
orf19.419	1	1759	2296
orf19.4325	179	3612	3713
orf19.4391	505	2632	2632
orf19.6527	213	3532	3600
orf19.308	46	1583	1725
orf19.7291	28	1037	1083
orf19.4805	120	2722	2889
orf19.6795	190	551	669
orf19.5288	42	1351	1661
orf19.3199	45	2917	3031
orf19.398	71	546	652
orf19.3763	73	1454	1577
orf19.2907.1	29	327	644
orf19.2906	1184	2076	2407
orf19.7215	181	5639	5700
orf19.135	71	2448	2579
orf19.3552	46	3146	3199
orf19.1124.2	19	920	1084
orf19.6698	32	1503	1598
orf19.1159	56	1578	1635
orf19.5010	48	1030	1131
orf19.4921.1	83	249	371
orf19.3440	124	958	958
orf19.5270	102	1126	1332
orf19.3042	196	1022	1215
orf19.5537	286	1586	1808
orf19.3023	123	2008	2113
orf19.2846	337	752	874
orf19.6829	51	2017	2099
orf19.5003	68	1416	1497
orf19.5730	207	1750	1809
orf19.104	199	1055	1103
orf19.7468	101	1716	1873
orf19.280	1	411	411
orf19.7340	1	333	333
orf19.6022	207	1939	2356
orf19.4658	255	2647	2743
orf19.1853	16	428	529
orf19.5212	1	1102	1172
orf19.3736	1	1111	1137
orf19.2952	56	1497	1652
orf19.4057	1	441	441
orf19.7376	69	2359	2472
orf19.1377	111	1165	1235
orf19.4403	157	3461	3546
orf19.3374	40	857	1098
orf19.4688	215	972	1126
orf19.3704	53	1875	2002
orf19.362	62	741	794
orf19.3938	38	828	903
orf19.4196	1	333	333
orf19.4861.1	62	347	347
orf19.4110	33	3163	3323
orf19.4332	1	1594	1894
orf19.5860	173	579	815
orf19.6200	1	955	1106
orf19.3966	197	1713	1868
orf19.4283	77	1086	1176
orf19.2060	41	729	840
orf19.6820	45	1594	1640
orf19.4440	54	2575	2630
orf19.2246	66	838	980
orf19.5831	476	1794	2054
orf19.2451	195	1585	1825
orf19.928	94	1958	2081
orf19.6315	87	658	940
orf19.6837	54	817	947
orf19.5681	119	855	915
orf19.6176	26	1467	1543
orf19.1258	116	831	1010
